channelId,title,country,publishedAt,subscriberCount,viewCount,videoCount
UCUX9bQuu9D-E1-sFo97E9Vg,Motivational Video,IN,2024-07-31T10:25:36.975978Z,142000,25995921,255
UCh-8Skr8qxnAOihvqesz8jA,PW Vidyapeeth,,2022-06-23T11:55:19.722035Z,971000,682574744,3702
UCw4Uu8NuVSNdPuQiAskcNbA,Sonu Sharma Shorts,IN,2024-07-02T07:34:43.469193Z,334000,74436163,145
UCrz8eKN6LOmktwJ0xY605WQ,StarBean,PK,2021-09-28T04:37:45.800615Z,394000,92127966,1223
UCapgAlO04rjQQ4dpwJhmVBQ,Vasanth Creation,IN,2020-06-21T17:47:40.20752Z,193000,124967961,157
UCmi1L3w2n-Lxwdl2vKd6Wdw,Royal Entry,IN,2024-07-02T13:56:19.268464Z,8060,2524062,79
UCbVAve96m6KHgp8GRaWb8kA,dk_47_class,,2020-10-14T02:50:11.155447Z,4890,2239191,612
UCZrOrkr5_2COLsa4gNdHl4Q,MotivationNation,,2022-01-07T19:03:32.039705Z,6150,3876127,240
UCrIfltxlke59i1j9dSdINGg,self motivation speech lifefacts ,IN,2022-12-10T11:23:14.853713Z,192000,298130678,805
UCsLF0qPTpkYKq81HsjgzhwQ,growingannanas,DE,2017-01-20T19:34:55Z,7880000,4320803759,1195
UCstUgFz4kRGzDBdVwvOJc6g,Study Buddy,,2023-12-05T07:54:48.018058Z,194000,75195493,858
UCxKh52s2WyrPKt1YDlT_d7w,Stoic Shift,GB,2016-10-17T17:32:20Z,131000,14997355,80
UCWT2zLRMluKU7vgnncRCNaQ,purehoney,,2022-08-06T05:20:36.664562Z,36000,10131834,179
UCwXM5OFc7ZM6HK5GKVfmJow,Younes Marxieu,,2007-02-16T15:03:36Z,116000,43379872,8
UCt2SOChctDPkoiN-eMj8Hkg,MotivaRise,US,2023-05-14T17:30:21.551889Z,126000,20771363,633
UCoouxJp5xAqlJkfDAdmdU2w,JamalOfficialVEVO,,2019-05-30T18:53:12Z,239000,89789353,57
UCtqS6QzSBW-0vRiNu3gFbSQ,Visionary Victory,SE,2025-01-11T16:39:58.036122Z,23200,6751294,317
UCt2Quuc57QxaB96R8MoQLjA,Exploring study methods,,2024-02-04T18:10:38.704644Z,31500,16544091,265
UCooBtcfLA_SU6CQBhgQvKrA,Saiqa Khan,IN,2025-03-27T04:49:14.194596Z,5230,7647514,314
UCkAQXrI6bJcctLka0uCk88Q,Naela here,IN,2024-08-23T17:40:14.559207Z,2570,9766583,86
UCcTZkDDUd9gpfnUjKf_tIUw, StudyBuzz-n5v,,2025-03-18T15:50:37.937029Z,5520,5600333,180
UCgkKA7xEOoBQNpC5TJxPLiw,Ben Lionel Scott,AU,2013-01-30T11:04:06Z,3410000,408385871,621
UCa3yUEck_3CyYeZWLN5lUOQ,Motivation4lines ,IN,2023-10-28T09:42:11.731104Z,59000,39302925,575
UC_km13_HJp2XGqq9yZ25swA,simply anushree,,2024-06-19T11:41:32.233582Z,2620,2434114,74
UCUIJFgCAtnQc-zgTl9oyBlw,Motivate_me,US,2023-05-27T07:50:32.751859Z,219000,129106895,334
UCgUeJ2Gv7rJtMBkQF2Ppn4A,ALLEN Career Institute,IN,2010-11-21T07:22:20Z,1820000,400662317,4914
UCovc1XABybLlBv684-1vEaw,RUMIEN,IN,2024-04-01T18:59:46.140221Z,24400,11541035,706
UComtMTGBn_IWH32nZYe2Dww,UPSC History ,IN,2024-04-02T18:40:19.668918Z,39900,19398091,1148
UCpmZQGTZXn9xd4nN59pbIWQ,Absolute Motivation,GB,2014-02-07T21:21:19Z,1540000,161693706,1620
UClAGMt7guAFHHGIVCUin_ew,UNSTOPPABLE,IN,2025-05-07T12:58:10.064874Z,116000,144924945,233
UCtMaG_Zehf5XU-RLm8xbKdA,Success Affection,,2024-05-31T00:08:27.136866Z,236000,218315833,362
UCqlmwAUmsqCb8VPYTq2Ul3Q,Rise With Pawan,IN,2020-05-09T11:35:09.836502Z,51000,31170577,140
UCwFWVNfgdQDqcDYNlR6bing,Learn And Grow TV,,2023-10-02T15:13:36.940182Z,47500,37981710,1566
UCaKrBypcrBqTshGRvreq_Rw,NextToppers Motivation ,IN,2024-01-08T13:29:24.117731Z,292000,74031717,1348
UCYVFeFY_4-755hqdPfB2qpw,Mia Yilin,,2024-05-02T22:22:50.958263Z,353000,128026942,174
UCnC5o5H4sKfAQYtTqucrteg,Study  Terminal,IN,2024-10-24T16:39:49.587735Z,15100,14563024,65
UCqxyzC5gD_nzAJPacw4Q4vw,Motivation Daily,BD,2025-04-25T06:07:29.782056Z,67200,18075024,512
UCdPdbJ5ZLkjNSYXLohNugQA,Knowledge Factory PSC,,2015-05-20T18:03:10Z,431000,107945121,1994
UCwwHxdscieNH0dzWmOwnuqw,T.I. - Topic,,2013-05-16T16:06:53Z,54000,1344598955,1489
UC_mMDNpUWrq7v7OteiqdRjQ,Learnworld,IN,2023-06-20T08:34:52.081696Z,177000,116965549,526
UCoeKRc4ZZ3cZDsePFZfW_9g,Just Lessons Learned,IN,2020-09-10T02:35:45.295169Z,104000,187819915,83
UCs9V-Bu_SzIgwUIa2z3szLA,Motivational World,,2023-09-25T15:53:35.707373Z,42900,7561710,87
UCmttHA4ZGXkLDguuNqGndiw,Crack UPSC,IN,2024-04-18T00:31:52.608365Z,432000,249841732,434
UCtgQWgNvZlgUmDgtH_r55sA,Billionaire Standard,PK,2021-11-08T03:41:53.249782Z,414000,158911174,1048
UCfg74k-exTvjZQbnQjVSuYw,BRAINY AESTHETICS ,,2024-09-25T13:03:50.727945Z,670,294331,47
UCbuCgDiW89u2d00kxeIZIMw,raj event decor ,IN,2022-02-25T00:10:47.739504Z,67800,33796193,39
UCj2aplF0DG6_iUCmPQjniSQ,Shobhit Nirwan - Shorts,IN,2023-07-14T14:32:00.329389Z,279000,67990979,767
UCgoyBmLOMNWmsiVkj-MezyQ,ExpHub - Prashant Kirad,IN,2020-09-13T11:27:32.155417Z,10900000,668805477,374
UCrbTUySQgqS79qOdKHcjW9g,Motiv8tv Matrix -NIT DGP,IN,2020-04-28T05:24:43.058125Z,15300,13397490,193
UCzfEdxNxo_4wErnJfoFntvA,Chartered Commerce,IN,2016-02-26T12:19:39Z,176000,150504997,1347
UCzzjOsfeNiNMHzl4NSsYpAA,Xplicit Motivation,IN,2022-11-30T18:33:50.259409Z,193000,92729064,1300
UCy2vByAZhHucf8wV1Lr8hKw,BoltMotivation,CA,2023-06-03T12:46:26.690448Z,2470000,3305380614,500
UCyIO3zgGSSH2T13uyfMy6WQ,The Billionaire's Diary,,2025-04-29T07:58:07.675771Z,14900,13428308,373
UCz-OeCdKS1I77P1_V255lFw,Chitralekha sengar ,IN,2021-10-26T06:34:57.852249Z,29700,55925610,237
UCzS8yP2svSAugsLd2Pp_KAA,FEROX,,2023-10-06T22:48:17.381718Z,11300,8741404,440
