channel_id,title,subscriber_count,total_views,video_count,country,niche,channel_age_months,avg_views,median_views,std_views,total_video_views,avg_likes,total_likes,avg_comments,total_comments,avg_engagement_rate,median_engagement_rate,er_stability,videos_collected,view_stability,view_consistency,posts_per_week,subscriber_view_ratio,size_band,er_band,match_quality,roi_band
UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,1660000,284041399,3471,US,finance,96.36666666666666,40596.3,31207,26160.932066003857,1217889,1913.4666666666667,57404,160.3,4809,0.045461378,0.04584312,0.017488201,30,0.6444007868997164,0.6,13.125,0.024455587677356824,mega,medium,1,0
UCxB7jMnHekMzHsOl9iZpXrA,Danny Rayes,1860000,5313718383,2476,US,finance,0,2801628.933333333,2766211.5,1886186.8892731513,84048868,123898.06666666667,3716942,1846.7666666666667,55403,0.047371866869771524,0.047483685320936816,0.010743542587002802,30,0.6732462652656617,0.7,15,1.5062513048828108,mega,medium,1,1
UCAn8NrZ-J4CRfwodajqFYoQ,BotezLive,1890000,1103731145,980,US,finance,94.06666666666666,315490.93333333335,104899,625742.0428,9464728,7453.3,223599,176.8,5304,0.028677979978996144,0.023574239742667112,0.015623483811084965,30,1.983385236360714,0.43333333333333335,2.625,0.16692633143227614,mega,medium,1,0
UCLdLVA4iiC6x22Rb0_-R0nQ,Explains 101,302000,14427907,68,Unknown,finance,0,390530.2,273521,499822.17581044725,11715906,10795.166666666666,323855,983.2,29496,0.033947183,0.032302337430885675,0.006411916,30,1.2798520983994295,0.5333333333333333,0.4555314533622559,1.293142075688491,mid,medium,1,1
UCj7cny5FsrDD2AdLntePeiQ,Balraj Trading Tech,194000,7476387,858,IN,finance,0,10912.566666666668,9682.5,3635.1340219407684,327377,889.6666666666666,26690,9.3,279,0.085836515,0.085872804,0.016167983615969325,30,0.33308396173027166,1,12.352941176470589,0.056250054,mid,high,1,1
UCnMku7J_UtwlcSfZlIuQ3Kw,Dan Gambardello,403000,61547448,2746,US,finance,98.2,17985.433333333334,18454,5847.3655764846335,539563,1154.6666666666667,34640,310.3666666666667,9311,0.083174502,0.08129562,0.020498245,30,0.32509867121059577,0.9,7.2413793103448265,0.044628756,mid,high,1,1
UCVd8rY6R92M6F3EM5Qa8qrw,Seemlify,21100,15294740,113,IT,finance,0,27500.433333333334,17314,61424.62310309663,825013,454.3,13629,7.966666666666667,239,0.017748053,0.017505507281869823,0.008207383,30,2.2335062452416405,0.6,6.5625,1.303276306020252,micro,low,1,1
UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2730000,296444628,1753,AE,finance,84.63333333333334,35030.066666666666,26982.5,22958.12113983338,1050902,1599.5,47985,116.53333333333333,3496,0.048911424,0.048170869686558385,0.010522972,30,0.6553646041751525,0.7666666666666667,8.076923076923077,0.012831521551335207,mega,medium,1,0
UCLHX_eEa8XILo7zIr1cNkvw,Ponke,91200,46847382,188,US,finance,0,184423,123316,241412.85714439626,5532690,4456.7,133701,76.06666666666666,2282,0.027161560579560134,0.02620417,0.011706802059032524,30,1.3090099832147457,0.6666666666666666,1.0552763819095479,2.0221598447385447,micro,medium,1,2
UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,2940000,376977446,1046,US,finance,106.76666666666667,275041.9666666667,128157,330077.84071446385,8251259,6963.3,208899,661.6333333333333,19849,0.025373150533464048,0.021343996951500094,0.013020132841979275,30,1.2000955513052465,0.4666666666666667,4.375,0.093551658,mega,medium,1,0
UCubuFNUSGnR2r2MkAiZGRiQ,Profit First,62800,6436860,2210,IN,finance,0,2063.5666666666666,2018,511.5381593837816,61907,149.63333333333333,4489,9.266666666666667,278,0.078672999,0.077741126,0.011789860362117554,30,0.24777023074274582,0.9666666666666667,7.5,0.032858819,micro,high,1,2
UCRvqjQPSeaWn-uEx-w0XOIg,Benjamin Cowen,969000,150765475,2813,US,finance,79.66666666666667,70510.83333333333,67218,42096.17755772208,2115325,3506.1666666666665,105185,215.53333333333333,6466,0.0481516,0.053480356475008574,0.017321021,30,0.5970086943948711,0.7333333333333333,6,0.072766523,mid,medium,1,1
UCBhORXMwPfJtNtsZcUJHO6w,Thomas Kralow,520000,55594957,1573,US,finance,0,13555.8,7386,14007.666239451242,406674,947.8666666666667,28436,19.8,594,0.047520025,0.031774411983570595,0.041146416,30,1.0332575710677478,0.5333333333333333,4.468085106382978,0.026068796,mid,medium,1,0
UCq8DICunczvLuJJq414110A,Zach King,42800000,22511702122,825,US,finance,148.63333333333333,6991724.633333334,1317904,18246977.60538361,209751739,67579.33333333333,2027380,439.73333333333335,13192,0.021772302080546386,0.022022025455851715,0.009568379,30,2.609796002061409,0.26666666666666666,1.875,0.16335804836390855,mega,medium,1,0
